"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"SenGillibrand.2645",2018-04-02 15:47:22,"SenGillibrand","Together, we fought back against Republican attempts to take away health care from millions. We flooded the airports to protest the hateful muslim ban. And we demanded action on common-sense gun reform. 

If we keep this up, we can take back the House and Senate.","Twitter Web Client",FALSE,FALSE,4346,883,NA,NA,"https://twitter.com/SenGillibrand/status/980834078931996673",NA
"SenGillibrand.2646",2018-04-01 14:40:12,"SenGillibrand","From my family to yours, Happy Easter to all who are celebrating! https://t.co/OmMXQJ2tVJ","Twitter Web Client",FALSE,FALSE,1606,78,NA,NA,"https://twitter.com/SenGillibrand/status/980454790835695617",NA
"SenGillibrand.2647",2018-03-31 19:53:36,"SenGillibrand","On #TransDayOfVisibility, let<U+2019>s renew our fight for the full equality of all transgender people. https://t.co/Gui9KTfGHj","Twitter Web Client",TRUE,FALSE,1081,274,"HRC",NA,"https://twitter.com/SenGillibrand/status/980171270317920257",NA
"SenGillibrand.2648",2018-03-30 23:01:05,"SenGillibrand","You cannot discuss criminal justice reform without talking about decriminalizing marijuana. It is a moral and a social justice issue.","Twitter Web Client",FALSE,FALSE,9515,1949,NA,NA,"https://twitter.com/SenGillibrand/status/979856066258374657",NA
"SenGillibrand.2649",2018-03-30 13:57:16,"SenGillibrand","In the military, on a college campus, or in the halls of Congress, survivors of sexual assault and harassment are disbelieved, blamed, and even retaliated against.
 
This stops when we listen, believe them, and work to create a system where justice is possible.","Twitter Web Client",FALSE,FALSE,2282,500,NA,NA,"https://twitter.com/SenGillibrand/status/979719210455662592",NA
"SenGillibrand.2650",2018-03-30 00:03:19,"SenGillibrand","Hiral<U+2019>s up against her GOP opponent in a district Pres. Trump won by 20+ points, and her special election is coming up fast on 4/24. That<U+2019>s why I hope I can count on you to send Hiral enough support to win and be a progressive voice for change in Congress: https://t.co/R8HcCKEdhf","Twitter Web Client",FALSE,FALSE,437,234,NA,NA,"https://twitter.com/SenGillibrand/status/979509339940679681",NA
"SenGillibrand.2651",2018-03-30 00:02:53,"SenGillibrand",".@hiral4congress is an emergency room doctor, a mom to three and a fierce advocate for our health care rights <U+2013> and now, she<U+2019>s #OffTheSidelines running for Congress in #AZ08.","Twitter Web Client",FALSE,FALSE,1434,561,NA,NA,"https://twitter.com/SenGillibrand/status/979509229299093506",NA
"SenGillibrand.2652",2018-03-29 19:13:01,"SenGillibrand","The details may change, but the tragic story of Stephon Clark, an unarmed black man killed by 20 bullets in his own backyard, is a story that is all too common across America. We need a thorough investigation and accountability<U+2014>and as a country, we need it now.","Twitter for iPhone",FALSE,FALSE,8111,2109,NA,NA,"https://twitter.com/SenGillibrand/status/979436281481478145",NA
"SenGillibrand.2653",2018-03-29 16:41:21,"SenGillibrand","Retweet. https://t.co/JjKodZ2rJi","Twitter for iPhone",FALSE,TRUE,0,140,NA,"StopBigMoney","https://twitter.com/SenGillibrand/status/979398113168257024",NA
"SenGillibrand.2654",2018-03-29 15:48:42,"SenGillibrand","Chag sameach to our families and friends gathering for Passover. In a time of prayer and festivity for the Jewish community, let<U+2019>s share in hope for a future of peace and religious freedom for all.","Twitter Web Client",FALSE,FALSE,512,99,NA,NA,"https://twitter.com/SenGillibrand/status/979384862913286145",NA
