"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"MichaelBennet.17",2019-06-06 19:08:34,"MichaelBennet","75 years ago today, brave young service members fought in the name of our shared values and many of them made the ultimate sacrifice. Our country is forever in their debt. #DDay75th
https://t.co/tBQqoo1WPv","Twitter Web Client",FALSE,FALSE,31,7,NA,NA,"https://twitter.com/MichaelBennet/status/1136711498284326912",NA
"MichaelBennet.18",2019-06-06 16:55:48,"MichaelBennet","Talking w/ @cheddar on why I believe being progressive means actually making progress. The kids in my former school district &amp; the next generation can<U+2019>t wait any longer for us to have universal health care or tackle climate change. That<U+2019>s where I<U+2019>m focused<U+2014>on making progress now.","Twitter for iPhone",FALSE,FALSE,24,8,NA,NA,"https://twitter.com/MichaelBennet/status/1136678085464604672",NA
"MichaelBennet.19",2019-06-06 16:46:56,"MichaelBennet","On the floor of the @NYSE with @cheddar <U+2014> talking about the damage of President Trump<U+2019>s tariffs &amp; how we can build economic opportunity for every American. https://t.co/pXgB61XmAX","Twitter for iPhone",FALSE,FALSE,16,4,NA,NA,"https://twitter.com/MichaelBennet/status/1136675853729980416","Manhattan, NY"
"MichaelBennet.20",2019-06-06 16:10:23,"MichaelBennet","More than half of former members of Congress that leave office go on to become, you guessed it, lobbyists. Our elected officials should represent the people, not special interests or themselves. https://t.co/zr36dhU7iC","Twitter Media Studio",FALSE,FALSE,59,18,NA,NA,"https://twitter.com/MichaelBennet/status/1136666656783159296",NA
"MichaelBennet.21",2019-06-06 15:14:26,"MichaelBennet","We must stand up for our democracy. 

It<U+2019>s time to make DC a state so their citizens can enjoy the rights people from every other state have. #dcstatehood https://t.co/5wZTHIDSuT","Twitter Media Studio",FALSE,FALSE,35,13,NA,NA,"https://twitter.com/MichaelBennet/status/1136652575640604674",NA
"MichaelBennet.22",2019-06-06 14:43:45,"MichaelBennet","I<U+2019>m tired of Washington dysfunction masquerading as empty bipartisanship. 

To break the politics of inaction on climate change and more, we need to take on the power of big money by reversing Citizens United. We need real campaign finance reform - and we need it now.","Twitter Web Client",FALSE,FALSE,67,21,NA,NA,"https://twitter.com/MichaelBennet/status/1136644854241472512",NA
"MichaelBennet.23",2019-06-06 13:12:59,"MichaelBennet","It makes absolutely no sense to silence candidates or limit the competition of ideas to tackle the existential threat of our time. All Dem candidates want to fight #ClimateChange &amp; voters should be able to hear our different approaches &amp; determine which will best combat this now.","Twitter Web Client",FALSE,FALSE,68,20,NA,NA,"https://twitter.com/MichaelBennet/status/1136622010908446720",NA
"MichaelBennet.24",2019-06-06 12:46:27,"MichaelBennet","Watch 'Conversation with the Candidate' with Michael Bennet https://t.co/x2ZyC09CNX","TweetDeck",FALSE,TRUE,0,3,NA,"WMUR9_Politics","https://twitter.com/MichaelBennet/status/1136615332368605184",NA
"MichaelBennet.25",2019-06-05 22:11:45,"MichaelBennet","Trump<U+2019>s tariffs are a tax on our workers, our farmers, and our ranchers <U+2014> and at the worst possible time when they are already struggling because of his trade wars. https://t.co/S508huqKrA","Twitter Media Studio",FALSE,FALSE,118,36,NA,NA,"https://twitter.com/MichaelBennet/status/1136395206289448960",NA
"MichaelBennet.26",2019-06-05 19:50:31,"MichaelBennet","Defenders of women and their health care rights have agreed for decades: the Hyde Amendment is federally sanctioned discrimination. It is wrong and should be overturned immediately.","Twitter Web Client",FALSE,FALSE,95,23,NA,NA,"https://twitter.com/MichaelBennet/status/1136359664298463237",NA
