"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"ericswalwell.233",2019-05-25 21:17:00,"ericswalwell","Ending gun violence is the centerpiece of our campaign, and it should be the centerpiece of American politics.

https://t.co/g37op7RSrx","Sprout Social",TRUE,FALSE,468,111,"lynnsweet",NA,"https://twitter.com/ericswalwell/status/1132395164494893056",NA
"ericswalwell.234",2019-05-25 19:17:06,"ericswalwell","July 2017. Daily Caller owned again <U+0001F644> https://t.co/gwbg4Pj7gD https://t.co/pm4Pfa7NtA","Twitter for iPhone",TRUE,FALSE,73,18,"heckyessica",NA,"https://twitter.com/ericswalwell/status/1132364988222464001",NA
"ericswalwell.235",2019-05-25 19:08:02,"ericswalwell","Check out this thread from my trip to Englewood, one of Chicago's most dangerous neighborhoods <U+0001F447> 

https://t.co/McMvpAjorf","Sprout Social",TRUE,FALSE,102,36,"marcusdipaola",NA,"https://twitter.com/ericswalwell/status/1132362709310291969",NA
"ericswalwell.236",2019-05-25 17:13:38,"ericswalwell","SUNDAY: Eric Swalwell (D-CA) talks with Chris for an exclusive, live interview #FNS https://t.co/6MSinaRCpC","Twitter for iPhone",FALSE,TRUE,0,22,NA,"FoxNewsSunday","https://twitter.com/ericswalwell/status/1132333916889571328",NA
"ericswalwell.237",2019-05-25 17:04:02,"ericswalwell","Cassandra told me, <U+201C>I was here in <U+2019>73,<U+201D> the year of the court<U+2019>s ruling, campaigning for choice then, she said. <U+201C>And I<U+2019>m mad to be back here now.<U+201D>

We're all mad. And we will take out our rage at the ballot box.

https://t.co/pEQ84xr4g5","Sprout Social",FALSE,FALSE,250,82,NA,NA,"https://twitter.com/ericswalwell/status/1132331503306858497",NA
"ericswalwell.238",2019-05-25 02:18:01,"ericswalwell","Ending gun violence needs to be a top priority for every presidential candidate. 

We need to make sure this issue is front and center on the debate stage. 

$1 could do that <U+0001F449>   https://t.co/WA17WC8lvl https://t.co/LSTfssVx0t","Sprout Social",FALSE,FALSE,103,34,NA,NA,"https://twitter.com/ericswalwell/status/1132108530637594631",NA
"ericswalwell.239",2019-05-25 02:17:03,"ericswalwell","Another great round table in Baltimore with activists, leaders, researchers, doctors, and mothers who have lost children to gun violence, the latest stop on our national gun violence listening tour. https://t.co/5GZ0nZcySe","Sprout Social",FALSE,FALSE,655,177,NA,NA,"https://twitter.com/ericswalwell/status/1132108284331253761",NA
"ericswalwell.240",2019-05-25 00:33:15,"ericswalwell","Let's be BOLD with healthcare. It's not just about coverage, it's about finding cures in our lifetime.

Let's look every cancer, ALS, Parkinson's, Alzheimer's patient in the eye and tell them that their government is doing everything it can for them. https://t.co/E5C8ODi0Xw","Sprout Social",FALSE,FALSE,408,87,NA,NA,"https://twitter.com/ericswalwell/status/1132082161467764743",NA
"ericswalwell.241",2019-05-24 23:17:15,"ericswalwell","I was born in Iowa. Educated in the South. Married to a Hoosier. And represent a diverse district in California. I<U+2019>ll add states in the general election. https://t.co/4qvzjv5o5F","Twitter for iPhone",TRUE,FALSE,344,81,"NewsHour",NA,"https://twitter.com/ericswalwell/status/1132063038922809344",NA
"ericswalwell.242",2019-05-24 22:30:06,"ericswalwell","We believe in the democratization of financial services to everyone, not just the wealthy.

https://t.co/l5M8MDgX1N","Sprout Social",FALSE,FALSE,49,14,NA,NA,"https://twitter.com/ericswalwell/status/1132051172498595840",NA
"ericswalwell.243",2019-05-24 21:07:38,"ericswalwell","It<U+2019>s deeply hypocritical 4 AG Barr to be told to unmask our Intelligence Community for political purposes while he blocks info in the Mueller report from public view to protect Donald Trump.

Transparency must flow in both directions. https://t.co/QeRpXaSoS0","Twitter Web Client",FALSE,TRUE,0,83,NA,"JoelMartinRubin","https://twitter.com/ericswalwell/status/1132030419883286528",NA
"ericswalwell.244",2019-05-24 20:06:01,"ericswalwell","If he never asked her to lie, she would have been truthful and said no. It was clear there was a lot she was seeking to protect.

https://t.co/F0ifMIr2ci","Sprout Social",FALSE,FALSE,1390,475,NA,NA,"https://twitter.com/ericswalwell/status/1132014913835216896",NA
"ericswalwell.245",2019-05-24 17:38:29,"ericswalwell","Let's be BOLD and find cures in our lifetime. It's people like @bsw5020 who inspire me to lead on this issue of using technology and innovation to cure diseases like ALS, Alzheimer's, Parkinson's, and so many others. https://t.co/wgwKZfBibK","Sprout Social",FALSE,FALSE,91,30,NA,NA,"https://twitter.com/ericswalwell/status/1131977782802690049",NA
"ericswalwell.246",2019-05-24 17:03:01,"ericswalwell","@BrenStJohn @RepSwalwell @audreycoopersf @JohnDiazChron @eastbaycitizen @channell1105 @KGO810 @560KSFO @Brian_Sussman @smerconish @rickwtyler @mercnews @BorensteinDan Actually, you did better than 1% last time you ran. https://t.co/rQ3q0ddo7h","Twitter for iPhone",FALSE,FALSE,0,1,NA,NA,"https://twitter.com/ericswalwell/status/1131968856531111938",NA
"ericswalwell.247",2019-05-24 15:22:21,"ericswalwell","We will not negotiate down on gun safety. 

The gun safety majority in America is larger and more powerful then the bullying, tweeting minority of the @NRA. We need to seize this moment. https://t.co/h8hVVjKqpD","Sprout Social",FALSE,FALSE,710,188,NA,NA,"https://twitter.com/ericswalwell/status/1131943526411976704",NA
"ericswalwell.248",2019-05-24 13:25:17,"ericswalwell","There is a gun safety majority in America. Senators will pay the price at the ballot box if they don't pass background checks. https://t.co/xpMTPMqwPY","Sprout Social",FALSE,FALSE,950,191,NA,NA,"https://twitter.com/ericswalwell/status/1131914064479817731",NA
