"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"TulsiGabbard.2907",2016-11-04 05:03:45,"TulsiGabbard",".@johnjohnflorenc Congrats John John - you have earned and deserve to be our world champ. Hawaii is so proud of you!","Twitter for iPhone",FALSE,FALSE,37,6,NA,NA,"https://twitter.com/TulsiGabbard/status/794404746836615168",NA
"TulsiGabbard.2908",2016-11-04 01:22:01,"TulsiGabbard","Mahalo, @abaquesadilla, for this beautiful essay. It<U+2019>s people like you that inspire me every day. #GirlPower
https://t.co/o97phVSX6Q","Sprout Social",FALSE,FALSE,108,48,NA,NA,"https://twitter.com/TulsiGabbard/status/794348944432058368",NA
"TulsiGabbard.2909",2016-11-03 23:39:01,"TulsiGabbard","The essence of aloha is loving and respecting each other as brothers and sisters, all part of one big family.","Sprout Social",FALSE,FALSE,189,74,NA,NA,"https://twitter.com/TulsiGabbard/status/794323023197155328",NA
"TulsiGabbard.2910",2016-11-03 22:18:00,"TulsiGabbard","Pipelines are deadly and devastate our environment. This one must be stopped. #noDAPL
https://t.co/56A95igEA6","Sprout Social",FALSE,FALSE,413,423,NA,NA,"https://twitter.com/TulsiGabbard/status/794302637772419072",NA
"TulsiGabbard.2911",2016-11-03 20:12:07,"TulsiGabbard","#TeamTulsi is more than an opportunity to give back to your community <U+2014> it<U+2019>s joining a family. 
https://t.co/h5qSj4MiB1 https://t.co/ZsLbSiIxzQ","Sprout Social",FALSE,FALSE,93,38,NA,NA,"https://twitter.com/TulsiGabbard/status/794270955052773377",NA
"TulsiGabbard.2912",2016-11-03 18:12:30,"TulsiGabbard","It's unacceptable to claw back our promises to our guardsmen &amp; their families. #PayThemBack
https://t.co/eoTkhVyQQf","Sprout Social",FALSE,FALSE,103,49,NA,NA,"https://twitter.com/TulsiGabbard/status/794240855502569472",NA
"TulsiGabbard.2913",2016-11-03 07:40:00,"TulsiGabbard","Wow. Hats off to the @cubs on their win tonight and finally an end to their historic drought! #Cubs","Twitter for iPhone",FALSE,FALSE,183,38,NA,NA,"https://twitter.com/TulsiGabbard/status/794081678490644480",NA
"TulsiGabbard.2914",2016-11-03 03:06:01,"TulsiGabbard","Time to end the illegal, counterproductive war to overthrow the Syrian government of Assad. 
https://t.co/y4gWUP53P7","Sprout Social",FALSE,FALSE,369,235,NA,NA,"https://twitter.com/TulsiGabbard/status/794012728159387648",NA
"TulsiGabbard.2915",2016-11-03 01:10:01,"TulsiGabbard","Together we are raising our voices about what we can do to address climate change. Add your voice through Nov. 6 <U+2192> https://t.co/YFyxnkmQIU","Sprout Social",FALSE,FALSE,87,42,NA,NA,"https://twitter.com/TulsiGabbard/status/793983537657434112",NA
"TulsiGabbard.2916",2016-11-02 22:37:01,"TulsiGabbard","Supporting clean energy is a no brainer. Our environment is fragile and we must protect it.","Sprout Social",FALSE,FALSE,192,70,NA,NA,"https://twitter.com/TulsiGabbard/status/793945033095290881",NA
"TulsiGabbard.2917",2016-11-02 21:39:01,"TulsiGabbard","I was among more than 1.3M people who checked in to Standing Rock, standing in solidarity with #noDAPL.
https://t.co/Vj5qIFDeGP","Sprout Social",FALSE,FALSE,262,120,NA,NA,"https://twitter.com/TulsiGabbard/status/793930436019785729",NA
"TulsiGabbard.2918",2016-11-02 20:12:03,"TulsiGabbard","#TeamTulsi will be sign waving on Maui before the Democratic Party<U+2019>s Grand Rally! Hope to see you there from 4 - 5:15 p.m. https://t.co/njPen7Mean","Sprout Social",FALSE,FALSE,102,29,NA,NA,"https://twitter.com/TulsiGabbard/status/793908551185928193",NA
"TulsiGabbard.2919",2016-11-02 19:04:50,"TulsiGabbard","Thank you @TaskandPurpose for sharing this powerful story. Help ppl understand #domesticviolence and how to empower survivors https://t.co/wjUPifvn6u","Twitter for iPhone",TRUE,FALSE,52,24,"TaskandPurpose",NA,"https://twitter.com/TulsiGabbard/status/793891635452981248",NA
"TulsiGabbard.2920",2016-11-02 18:56:45,"TulsiGabbard","My heart goes out to the families of the brave officers that were ambushed in Iowa. 
https://t.co/ZPaEiMPyiO","Sprout Social",FALSE,FALSE,61,28,NA,NA,"https://twitter.com/TulsiGabbard/status/793889600372502529",NA
"TulsiGabbard.2921",2016-11-02 16:32:01,"TulsiGabbard","It's urgent that we address the opioid epidemic that is harming toddlers, children, teens, and adults.
https://t.co/HNpkFxaaCA","Sprout Social",FALSE,FALSE,71,31,NA,NA,"https://twitter.com/TulsiGabbard/status/793853178131341312",NA
"TulsiGabbard.2922",2016-11-02 03:11:01,"TulsiGabbard","The U.S. needs to lead in implementing renewable energy, rather than forcing through oil pipelines that threaten our environment. #NoDAPL","Sprout Social",FALSE,FALSE,552,385,NA,NA,"https://twitter.com/TulsiGabbard/status/793651598840823808",NA
