"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"TimRyan.240",2019-05-25 01:34:33,"TimRyan","No one should live in fear in the United States. 

No one should feel insecure or shamed in the United States. 

We are a country of immigrants and we will continue to be a country of immigrants long after we send Trump back to Mar-a-Lago. https://t.co/8hSHQ36eZH","Twitter for iPhone",FALSE,FALSE,208,64,NA,NA,"https://twitter.com/TimRyan/status/1132097591817265152",NA
"TimRyan.241",2019-05-25 00:02:15,"TimRyan","@CallTheFalcons Thank for you support. Appreciate it.","Twitter for iPhone",FALSE,FALSE,1,0,NA,NA,"https://twitter.com/TimRyan/status/1132074363421908993",NA
"TimRyan.242",2019-05-24 19:40:50,"TimRyan","America needs leaders who will actually get the job done on #infrastructure in 2020. Join us in Waterloo, #Iowa for a crucial community conversation with: 

<U+2705> @TimRyan 
<U+2705> @QuentinHart
<U+2705> @TimiForIowa 
<U+2705> @Will_PPI 

RSVP below <U+2935><U+FE0F>
https://t.co/C6OTuCv3ta #iacaucus #iapol","Twitter for iPhone",FALSE,TRUE,0,9,NA,"ppi","https://twitter.com/TimRyan/status/1132008576254447618",NA
"TimRyan.243",2019-05-24 15:47:52,"TimRyan","If we are going to come together as a country, we have to lay a better foundation for understanding that.  We have to move away from the negative and combative rhetoric that we<U+2019>ve had these three years and move to one that is more understanding and inclusive.","Twitter for iPhone",FALSE,FALSE,29,5,NA,NA,"https://twitter.com/TimRyan/status/1131949944833757185",NA
"TimRyan.244",2019-05-24 15:47:51,"TimRyan","But we KNOW that working class rural America AND urban America encompasses difference races and ethnicities. It always has and it always will.","Twitter for iPhone",FALSE,FALSE,21,4,NA,NA,"https://twitter.com/TimRyan/status/1131949943432912896",NA
"TimRyan.245",2019-05-24 15:47:51,"TimRyan","Let<U+2019>s be clear. When Trump talks about the <U+201C>working class<U+201D> he<U+2019>s aiming to divide. 

Pitting white workers against black workers and black workers against people of color. He<U+2019>s intentional about that.","Twitter for iPhone",FALSE,FALSE,52,15,NA,NA,"https://twitter.com/TimRyan/status/1131949941390286849",NA
"TimRyan.246",2019-05-24 14:36:53,"TimRyan","@Brownsclown @RepTimRyan Thank you for your support @Brownsclown! Appreciate it.","Twitter Web Client",FALSE,FALSE,1,0,NA,NA,"https://twitter.com/TimRyan/status/1131932081041346561",NA
"TimRyan.247",2019-05-24 14:33:44,"TimRyan","Rep. Tim Ryan joins @Morning_Joe to discuss what voters the Democratic Party needs to target in the 2020 presidential election. https://t.co/O6bJXrn78h","Twitter Web Client",FALSE,TRUE,0,29,NA,"MSNBC","https://twitter.com/TimRyan/status/1131931288749973504",NA
"TimRyan.248",2019-05-24 14:08:43,"TimRyan","What was that website again?
https://t.co/KJ1w311OF8
Please give a couple of dollars to help this man get on the debate stage. Let his voice be heard. Even $1 helps but $5 is better. @TimRyan @RepTimRyan https://t.co/pCiyx3nk84","Twitter Web Client",FALSE,TRUE,0,7,NA,"Brownsclown","https://twitter.com/TimRyan/status/1131924996471840769",NA
"TimRyan.249",2019-05-24 13:55:32,"TimRyan","Today on @Morning_Joe, Ohio presidential candidate @TimRyan spoke with @JoeNBC, @morningmika, &amp; @WillieGeist about his plan to steer venture capital &amp; green jobs to distressed communities in the Midwest, where <U+201C>workers are still suffering.<U+201D> 
https://t.co/71DnCchsuQ  #2020Vision https://t.co/10s2CQ471h","TweetDeck",FALSE,TRUE,0,5,NA,"AndyPadrutt","https://twitter.com/TimRyan/status/1131921674771816448",NA
