"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"BilldeBlasio.596",2017-09-21 19:58:33,"BilldeBlasio","Climate change is an existential threat to our planet and every city has to be a part of the solution. 
https://t.co/9QP5AXgxPb","Sprout Social",FALSE,FALSE,36,11,NA,NA,"https://twitter.com/BilldeBlasio/status/910956436645187584",NA
"BilldeBlasio.597",2017-09-21 18:15:47,"BilldeBlasio","This is the number to call your Senators: (202) 224<U+2013>3121. Put it on speed dial, memorize it. Lives are at stake if #GrahamCassidy passes.","Sprout Social",FALSE,FALSE,53,47,NA,NA,"https://twitter.com/BilldeBlasio/status/910930572280782848",NA
"BilldeBlasio.598",2017-09-21 16:46:13,"BilldeBlasio","Republicans are sending a clear message to Americans with the Graham-Cassidy bill: They don<U+2019>t value women, children, or seniors.","Sprout Social",FALSE,FALSE,242,89,NA,NA,"https://twitter.com/BilldeBlasio/status/910908034746023936",NA
"BilldeBlasio.599",2017-09-20 23:46:47,"BilldeBlasio","The GOP health care repeal plan would mean cancer patients, people with autism, and pregnant women could be charged more. https://t.co/jOkNOYvCUY","Sprout Social",TRUE,FALSE,22,12,"voxdotcom",NA,"https://twitter.com/BilldeBlasio/status/910651485960073216",NA
"BilldeBlasio.600",2017-09-20 20:49:25,"BilldeBlasio","L<U+2019>Shanah Tovah! Wishing all New Yorkers celebrating Rosh Hashanah a sweet and healthy new year.","Sprout Social",FALSE,FALSE,65,13,NA,NA,"https://twitter.com/BilldeBlasio/status/910606847089897473",NA
"BilldeBlasio.601",2017-09-20 19:51:33,"BilldeBlasio","The building emissions requirement will be the equivalent of taking 900,000 cars off NYC roads in a single year.
https://t.co/mpRMT6zB9K","Sprout Social",FALSE,FALSE,21,9,NA,NA,"https://twitter.com/BilldeBlasio/status/910592285472989184",NA
"BilldeBlasio.602",2017-09-20 16:44:17,"BilldeBlasio","If the federal government backs away from climate change, the rest of us have to step forward and go even further.
https://t.co/3EOhxAF7pK","Sprout Social",FALSE,FALSE,27,12,NA,NA,"https://twitter.com/BilldeBlasio/status/910545158759890944",NA
"BilldeBlasio.603",2017-09-20 15:22:15,"BilldeBlasio","Global warming is not fiction. It is real, it is persistent, it is manmade, and it must be stopped.","Sprout Social",FALSE,FALSE,172,46,NA,NA,"https://twitter.com/BilldeBlasio/status/910524512843661314",NA
"BilldeBlasio.604",2017-09-19 22:00:35,"BilldeBlasio","Once again the GOP is trying to take health care from millions of Americans. Let<U+2019>s end this now: (202) 224<U+2013>3121.
https://t.co/G7rX5hj91Y","Sprout Social",FALSE,FALSE,50,31,NA,NA,"https://twitter.com/BilldeBlasio/status/910262371355987968",NA
"BilldeBlasio.605",2017-09-19 21:04:39,"BilldeBlasio","No matter how much I love this place, no matter how much good I<U+2019>ve seen, I do not accept the status quo in this town. We<U+2019>ve got more to do.","Sprout Social",FALSE,FALSE,69,21,NA,NA,"https://twitter.com/BilldeBlasio/status/910248293040566272",NA
"BilldeBlasio.606",2017-09-19 19:50:31,"BilldeBlasio","While Republicans in Washington debate the science, we<U+2019>ll be fighting climate change. https://t.co/h2KYGo7k46","Sprout Social",TRUE,FALSE,33,11,"NBCNightlyNews",NA,"https://twitter.com/BilldeBlasio/status/910229636625379328",NA
"BilldeBlasio.607",2017-09-17 23:23:59,"BilldeBlasio","NYC was never meant to be a city of real estate developers, or landlords, or the titans of Wall Street. It<U+2019>s meant to be a city for everyone","Sprout Social",FALSE,FALSE,228,64,NA,NA,"https://twitter.com/BilldeBlasio/status/909558584383541248",NA
"BilldeBlasio.608",2017-09-17 21:01:29,"BilldeBlasio","It<U+2019>s too hard to vote in New York. It<U+2019>s simple, we need reforms: early voting, same day registration &amp; a functioning board of elections.","Sprout Social",FALSE,FALSE,801,227,NA,NA,"https://twitter.com/BilldeBlasio/status/909522720785928194",NA
"BilldeBlasio.609",2017-09-17 19:33:19,"BilldeBlasio","If you wait on Washington to solve your problems, you will be waiting in vain. Here in this City, we have to solve our own problems.","Sprout Social",FALSE,FALSE,134,43,NA,NA,"https://twitter.com/BilldeBlasio/status/909500534561886211",NA
"BilldeBlasio.610",2017-09-17 15:30:40,"BilldeBlasio","<U+2705> Test scores are up 
<U+2705> Graduation rates are up
<U+2705> We are introducing Advanced Placement and computer science classes for every student https://t.co/wLJHsHrnfu","Sprout Social",FALSE,FALSE,64,18,NA,NA,"https://twitter.com/BilldeBlasio/status/909439469140480000",NA
"BilldeBlasio.611",2017-09-16 20:03:05,"BilldeBlasio","We shouldn<U+2019>t discriminate against anyone who chooses to bravely serve our nation. 
https://t.co/lYmyPoJ4Mu","Sprout Social",FALSE,FALSE,57,22,NA,NA,"https://twitter.com/BilldeBlasio/status/909145637756825600",NA
"BilldeBlasio.612",2017-09-16 17:15:05,"BilldeBlasio","NYC Dreamers should know that help is on the way. All over the country, more and more people are working to protect you. We<U+2019>re here for you.","Sprout Social",FALSE,FALSE,110,31,NA,NA,"https://twitter.com/BilldeBlasio/status/909103357754822657",NA
"BilldeBlasio.613",2017-09-16 15:16:01,"BilldeBlasio","My wife @Chirlane is working to end the stigma and misconceptions around mental illness.
https://t.co/jYwnT2C7EE","Sprout Social",FALSE,FALSE,37,12,NA,NA,"https://twitter.com/BilldeBlasio/status/909073394926223365",NA
"BilldeBlasio.614",2017-09-15 23:47:17,"BilldeBlasio","We<U+2019>re attacking the affordability crisis head on with a new plan to create 100,000 good middle-class jobs that pay at least $50,000.","Sprout Social",FALSE,FALSE,48,15,NA,NA,"https://twitter.com/BilldeBlasio/status/908839669659467777",NA
"BilldeBlasio.615",2017-09-15 22:08:22,"BilldeBlasio","The White House won<U+2019>t step up, so it<U+2019>s time for a different set of rules in this city to address climate change.
https://t.co/ik69yPIc28","Sprout Social",FALSE,FALSE,60,18,NA,NA,"https://twitter.com/BilldeBlasio/status/908814778658951168",NA
